date,ticker,name,open,high,low,close,prev_close,change_pct,volume,value_iqd,trades
2026-09-07,AISP,Iraqi for Seed Production,5.52,5.53,5.4,5.45,5.55,-1.8,13542137,73636952.71,88
2026-09-07,AMAP,Modern for Animal Production,0.34,0.34,0.34,0.34,0.34,0.0,104925,35674.5,4
2026-09-07,BAIB,Asia Al Iraq Islamic Bank for Investment,,,,0.96,,,0,,0
2026-09-07,BNAI,National Islamic Bank,,,,1.0,,,0,,0
2026-09-07,BELF,Elaf Islamic Bank,,,,0.32,,,0,,0
2026-09-07,BKUI,Kurdistan International Bank,,,,1.35,,,0,,0
2026-09-07,BCIH,Cihan Bank for Islamic Investment&Finance,,,,1.75,,,0,,0
2026-09-07,NAME,Al-Ameen for Insurance,,,,0.86,,,0,,0
2026-09-07,SMOF,Al-Mosul for funfairs,,,,13.0,,,0,,0
2026-09-07,SNUC,AL-Nukhba for Construction,,,,0.69,,,0,,0
2026-09-07,IMIB,Metallic Industries and Bicycles,,,,1.94,,,0,,0
2026-09-07,IIEW,Iraqi Engineering Works,,,,5.04,,,0,,0
2026-09-07,IIDP,Iraqi Date Processing and Marketing,,,,2.15,,,0,,0
2026-09-07,HBAY,Babylon Hotel,,,,108.0,,,0,,0
2026-09-07,HTVM,Tourist Village of Mosul dam,,,,13.0,,,0,,0
2026-09-07,AAHP,Al-Ahlyia agricultural production,,,,2.11,,,0,,0
2026-09-07,AIRP,Iraqi Agricultural Products ,,,,11.0,,,0,,0
2026-09-07,AMEF,Middle East for Production- Fish,,,,5.99,,,0,,0
2026-09-07,AIPM,Agricultural Products Meat,,,,4.7,,,0,,0
2026-09-07,BQAB,Al-Qabidh Islamic Bank,,,,0.07,,,0,,0
2026-09-07,BINI,Iraq Noor Islamic Bank for Investment,,,,0.2,,,0,,0
2026-09-07,BTRI,Trans Iraq Bank Investment,,,,0.27,,,0,,0
2026-09-07,BAAI,Arab Islamic Bank,,,,1.0,,,0,,0
2026-09-07,BQUR,Al-Qurtas Islamic Bank,,,,1.0,,,0,,0
2026-09-07,BMAL,AL- Mal Islamic Bank,,,,1.0,,,0,,0
2026-09-07,BERI,Erbil Investment & FinanceBank,,,,0.11,,,0,,0
2026-09-07,BRTB,Region Trade Bank,,,,1.01,,,0,,0
2026-09-07,BIDB,International Development Bank,,,,1.05,,,0,,0
2026-09-07,BRAJ,Al-Rajih Islamic Bank,,,,1.0,,,0,,0
2026-09-07,BMUI,Al-Mustashar Islamic Bank for Investment,,,,1.0,,,0,,0
2026-09-07,BTRU,Trust International Islamic Bank,,,,0.75,,,0,,0
2026-09-07,BJAB,Al janoob Islamic Bank,,,,0.94,,,0,,0
2026-09-07,BAMS,Al-Mashreq Al-Arabi Islamic Bank,,,,0.85,,,0,,0
2026-09-07,NAHF,Alahliya For Insurance,,,,0.82,,,0,,0
2026-09-07,VWIF,AL-Wiaam for Financial Investment,,,,0.68,,,0,,0
2026-09-07,VAMF,Al-Ameen for Financial Investment,,,,1.26,,,0,,0
2026-09-07,SAEI,Al-Ameen Estate Investment,,,,1.66,,,0,,0
2026-09-07,SIBD,Ibdaa Al-sharq Alwast General Contracting,,,,1.0,,,0,,0
2026-09-07,IHFI,National Furniture Industries,,,,1.15,,,0,,0
2026-09-07,IBPM,Baghdad for Packing Materials,,,,3.0,,,0,,0
2026-09-07,IMCI,Modern chemical industries,,,,100.0,,,0,,0
2026-09-07,HASH,Ashour Hotel,,,,25.99,,,0,,0
2026-09-07,BUND,United Bank,,,,0.05,,,0,,0
2026-09-07,BUOI,Union Bank of Iraq,,,,0.16,,,0,,0
2026-09-07,BWOR,World Islamic Bank for Investment,,,,1.0,,,0,,0
2026-09-07,BAME,Ameen Al-Iraq Islamic Bank,,,,1.0,,,0,,0
2026-09-07,SBAG,AL-Badia for General Trans,,,,1.2,,,0,,0
2026-09-07,SIGT,General Transportation,,,,1.37,,,0,,0
2026-09-07,IMCM,Modern Construction Materials,,,,1.35,,,0,,0
2026-09-07,IELI,Electronic Industry,,,,1.37,,,0,,0
